Question,Local_Faithfulness,Cloud_Faithfulness,Local_Relevancy,Cloud_Relevancy,Local_Precision,Cloud_Precision
高血压患者能不能吃咸菜？,0.3333333333333333,0.3333333333333333,0.6662577165625141,0.6662577165625141,0.9999999999,0.9999999999
布洛芬和对乙酰氨基酚能一起吃吗？,0.0,0.0,0.6056703509694149,0.6238294132149301,0.9999999999,0.9999999999
感冒了流黄鼻涕是病毒还是细菌？,1.0,1.0,0.8248156840884607,0.8248156840884607,0.9999999999,0.9999999999
备孕期间能不能照 X 光？,0.5,0.5,0.6001161977431485,0.5437472622704829,0.9999999999,0.9999999999
孩子发烧 38.5 度怎么办？,0.25,0.0,0.7616263038153624,0.7320250156252205,0.9999999999,0.9999999999
体检发现胆囊息肉 0.5cm 严重吗？,1.0,0.6666666666666666,0.6724522255098747,0.6766676663996528,0.9999999999,0.9999999999
抗生素吃三天感觉好了能停吗？,0.0,0.0,0.0,0.0,0.9999999999,0.9999999999
脂肪肝怎么调理？,1.0,1.0,0.848949123190832,0.7246319482539546,0.9999999999,0.9999999999
腰间盘突出能睡软床吗？,0.0,0.0,0.561176667134692,0.561176667134692,0.9999999999,0.9999999999
贫血吃什么补得快？,0.0,0.0,0.6847156193583146,0.6902130256419813,0.9999999999,0.9999999999
过敏性哮喘能治愈吗？,0.0,0.0,0.6179859818770183,0.6182593139316884,0.9999999999,0.9999999999
尿酸高就是痛风吗？,0.0,0.0,0.7474678024662612,0.7468979945012363,0.9999999999,0.9999999999
胃溃疡能不能喝咖啡？,0.0,0.0,0.0,0.0,0.9999999999,0.9999999999
中暑了喝藿香正气水有用吗？,0.0,0.0,0.8067926896868468,0.8054811333689473,0.9999999999,0.9999999999
近视手术后会反弹吗？,0.5,0.5,0.7695482314085741,0.7695482314085741,0.9999999999,0.9999999999
心脏早搏一定要吃药吗？,0.0,0.0,0.8267071932611013,0.6545498868555514,0.9999999999,0.9999999999
甲减需要终身服药吗？,0.0,0.0,0.0,0.0,0.9999999999,0.9999999999
带状疱疹会传染吗？,0.5,0.5,0.7532935410262706,0.7532935410262706,0.9999999999,0.9999999999
长期吃降压药伤肾吗？,0.0,0.0,0.915276187354816,0.8765698511894945,0.9999999999,0.9999999999
抽烟对伤口愈合有影响吗？,0.0,0.0,0.7484569990396385,0.7646225060635189,0.9999999999,0.9999999999
